time,leverL,nose,threshold,horizontal,vertical
1470350873.82,501,0,600,10,13.5
1470350873.84,501,0,600,10,13.5
1470350873.85,501,0,600,10,13.5
1470350873.87,497,0,600,10,13.5
1470350873.89,501,0,600,10,13.5
1470350873.9,501,0,600,10,13.5
1470350873.92,502,0,600,10,13.5
1470350873.94,501,0,600,10,13.5
1470350873.95,502,0,600,10,13.5
1470350873.97,502,0,600,10,13.5
1470350873.99,501,0,600,10,13.5
1470350874.0,502,0,600,10,13.5
1470350874.02,501,0,600,10,13.5
1470350874.04,501,0,600,10,13.5
1470350874.05,501,0,600,10,13.5
1470350874.07,501,0,600,10,13.5
1470350874.09,500,0,600,10,13.5
1470350874.1,501,0,600,10,13.5
1470350874.12,502,0,600,10,13.5
1470350874.13,507,0,600,10,13.5
1470350874.15,523,0,600,10,13.5
1470350874.17,527,0,600,10,13.5
1470350874.18,527,0,600,10,13.5
1470350874.2,527,0,600,10,13.5
1470350874.22,528,0,600,10,13.5
1470350874.23,528,0,600,10,13.5
1470350874.25,528,0,600,10,13.5
1470350874.27,528,0,600,10,13.5
1470350874.28,527,0,600,10,13.5
1470350874.3,524,0,600,10,13.5
1470350874.32,518,0,600,10,13.5
1470350874.33,512,0,600,10,13.5
1470350874.35,508,0,600,10,13.5
1470350874.37,506,0,600,10,13.5
1470350874.38,506,0,600,10,13.5
1470350874.4,505,0,600,10,13.5
1470350874.42,505,0,600,10,13.5
1470350874.43,505,0,600,10,13.5
1470350874.45,505,0,600,10,13.5
1470350874.47,505,0,600,10,13.5
1470350874.48,509,0,600,10,13.5
1470350874.5,498,0,600,10,13.5
1470350874.52,504,0,600,10,13.5
1470350874.53,505,0,600,10,13.5
1470350874.55,504,0,600,10,13.5
1470350874.57,505,0,600,10,13.5
1470350874.58,504,0,600,10,13.5
1470350874.6,504,0,600,10,13.5
1470350874.61,505,0,600,10,13.5
1470350874.63,504,0,600,10,13.5
1470350874.65,505,0,600,10,13.5
1470350874.66,505,0,600,10,13.5
