,512,512
0.0,512,256
1.42,512,256
2.69,512,256
3.95,512,256
5.21,512,256
6.46,512,256
8.32,512,256
9.7,512,256
10.97,512,256
12.23,512,256
13.52,512,256
14.78,512,256
16.03,512,256
17.29,512,256
18.54,512,256
19.8,512,256
21.05,512,256
22.31,512,256
23.56,512,256
24.82,512,256
26.07,512,256
27.34,512,256
28.75,512,256
30.19,512,256
31.63,512,256
32.94,512,256
34.26,512,256
35.69,512,256
37.09,512,256
38.55,512,256
40.05,512,256
41.42,512,256
42.78,512,256
44.14,512,256
45.48,512,256
46.74,512,256
48.0,512,256
49.26,512,256
50.51,512,256
52.97,512,256
54.31,512,256
55.58,512,256
56.83,512,256
58.13,512,256
59.39,512,256
60.68,512,256
61.93,512,256
63.19,512,256
64.44,512,256
65.7,512,256
67.01,512,256
68.27,512,256
69.53,512,256
70.78,512,256
72.03,512,256
73.29,512,256
74.55,512,256
75.87,512,256
77.36,512,256
78.85,512,256
80.27,512,256
81.67,512,256
83.01,512,256
85.93,512,256
92.33,512,256
95.56,512,512
97.23,512,256
100.4,512,256
101.84,512,256
103.26,512,256
104.91,512,256
106.54,512,512
108.18,512,256
110.21,512,256
111.72,512,256
113.25,512,256
115.02,512,256
116.47,512,256
117.84,512,256
119.22,512,256
120.58,512,256
122.02,512,256
123.75,512,256
125.24,512,256
126.73,512,256
128.44,512,256
129.8,512,256
131.36,512,256
132.79,512,256
134.26,512,256
135.53,512,256
136.87,512,256
138.51,512,256
139.92,512,256
141.29,512,256
142.68,512,256
144.23,512,256
145.75,512,256
147.22,512,256
148.7,512,256
150.07,512,256
151.33,512,256
152.58,512,256
153.83,512,256
155.08,512,256
156.33,512,256
157.58,512,256
158.84,512,256
160.09,512,256
161.34,512,256
162.59,512,256
163.85,512,256
165.1,512,256
166.38,512,256
167.75,512,256
169.37,512,256
170.82,512,256
172.2,512,256
173.6,512,256
175.11,512,256
176.63,512,256
177.99,512,256
179.38,512,256
180.8,512,256
182.07,512,256
183.32,512,256
184.58,512,256
185.88,512,256
187.44,512,256
189.09,512,256
191.17,512,256
192.62,512,256
193.99,512,256
195.33,512,256
196.72,512,256
198.51,512,256
200.01,512,256
201.45,512,256
202.8,512,256
204.21,512,256
205.64,512,256
207.01,512,256
208.68,512,256
210.15,512,256
211.53,512,256
212.92,512,256
214.3,512,256
215.68,512,256
216.97,512,256
218.24,512,256
219.5,512,256
220.77,512,256
222.03,512,256
223.29,512,256
224.55,512,256
225.81,512,256
227.08,512,256
228.44,512,256
229.89,512,256
231.31,512,256
232.7,512,256
234.1,512,256
235.47,512,256
236.83,512,256
238.42,512,256
239.88,512,256
241.27,512,256
242.65,512,256
243.99,512,256
245.39,512,256
246.67,512,256
247.93,512,256
249.27,512,256
250.74,512,256
252.17,512,256
253.54,512,256
254.93,512,256
256.32,512,256
257.72,512,256
259.18,512,256
260.72,512,512
262.12,512,256
263.7,512,256
265.1,512,256
266.57,512,256
268.75,512,256
270.16,512,256
271.58,512,256
272.99,512,256
274.3,512,256
275.58,512,256
276.85,512,256
278.16,512,256
279.44,512,256
280.71,512,256
281.99,512,256
283.26,512,256
284.54,512,256
285.81,512,256
287.08,512,256
288.38,512,256
289.76,512,256
291.31,512,256
292.76,512,256
294.15,512,256
295.55,512,256
297.32,512,256
298.79,512,256
300.16,512,256
301.53,512,256
302.89,512,256
304.17,512,256
305.45,512,256
306.72,512,256
308.02,512,256
309.45,512,256
310.82,512,256
312.16,512,256
313.55,512,256
314.98,512,256
316.34,512,256
317.7,512,256
319.16,512,256
320.66,512,512
322.2,512,256
323.63,512,256
325.06,512,256
